Round,Player 1 Name,Player 1 Hero,Player 1 Decklist,Player 2 Name,Player 2 Hero,Player 2 Decklist,Winner,Winning Hero
Round 1,Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/54574811,Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/93545135,Alexej Vollmer,"Gravy Bones, Shipwrecked Looter"
Round 1,Grégory Lefebvre,"Oscilio, Constella Intelligence",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/73238818,Francesco Zampieri,"Cindra, Dracai of Retribution",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/23992312,Grégory Lefebvre,"Oscilio, Constella Intelligence"
Round 1,Jaka Burnik,"Cindra, Dracai of Retribution",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/58252891,Lorenzo Cavazzini,"Florian, Rotwood Harbinger",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/23278352,Jaka Burnik,"Cindra, Dracai of Retribution"
Round 1,Marvin Heusinger,"Cindra, Dracai of Retribution",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/45315458,Florian Grabenstein,"Kayo, Armed and Dangerous",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/67219499,Marvin Heusinger,"Cindra, Dracai of Retribution"
Round 1,Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/65623129,Chang Li,"Victor Goldmane, High and Mighty",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/78195736,Stefaan Morbee,"Gravy Bones, Shipwrecked Looter"
Round 1,Erik Baalhuis,"Rhinar, Reckless Rampage",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/79255197,Xiaoliang Yang,Dash I/O,https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/67954858,Xiaoliang Yang,Dash I/O
Round 1,Luis Toeffels,"Azalea, Ace in the Hole",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/81587693,Mirko Dolce,"Azalea, Ace in the Hole",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/16759958,Mirko Dolce,"Azalea, Ace in the Hole"
Round 1,Jakub Kouřil,"Prism, Awakener of Sol",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/46461128,Christian Fichtner,"Nuu, Alluring Desire",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/83353599,Jakub Kouřil,"Prism, Awakener of Sol"
Round 1,Daniel Li,"Cindra, Dracai of Retribution",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/72289973,Gabriele Panichi,"Prism, Awakener of Sol",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/85747484,Daniel Li,"Cindra, Dracai of Retribution"
Round 1,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/64982125,Maciej Szawica,"Kayo, Armed and Dangerous",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/15727645,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire"
Round 1,Alex Kondov,"Prism, Awakener of Sol",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/82389134,Enrico Collini,"Riptide, Lurker of the Deep",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/88941335,Alex Kondov,"Prism, Awakener of Sol"
Round 1,Matteo Brunori,"Azalea, Ace in the Hole",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/17122362,Plamen Kutinchev,"Arakni, Marionette",https://fabtcg.com/en/coverage/calling-bologna-2025/decklist/54255693,Matteo Brunori,"Azalea, Ace in the Hole"
