Player,Wins,Losses,Win Rate (%),Heroes Used
Alexej Vollmer,2,3,40.0,"Gravy Bones, Shipwrecked Looter"
Alberto Di Blasi,2,3,40.0,"Gravy Bones, Shipwrecked Looter"
Grégory Lefebvre,2,3,40.0,"Oscilio, Constella Intelligence"
Francesco Zampieri,0,4,0.0,"Cindra, Dracai of Retribution"
Jaka Burnik,1,3,25.0,"Cindra, Dracai of Retribution"
Lorenzo Cavazzini,4,3,57.14,"Florian, Rotwood Harbinger"
Marvin Heusinger,8,4,66.67,"Cindra, Dracai of Retribution"
Florian Grabenstein,2,3,40.0,"Kayo, Armed and Dangerous"
Stefaan Morbee,2,3,40.0,"Gravy Bones, Shipwrecked Looter"
Chang Li,3,4,42.86,"Victor Goldmane, High and Mighty"
Erik Baalhuis,2,3,40.0,"Rhinar, Reckless Rampage"
Xiaoliang Yang,1,3,25.0,Dash I/O
Luis Toeffels,0,4,0.0,"Azalea, Ace in the Hole"
Mirko Dolce,6,5,54.55,"Azalea, Ace in the Hole"
Jakub Kouřil,8,4,66.67,"Prism, Awakener of Sol"
Christian Fichtner,3,3,50.0,"Nuu, Alluring Desire"
Daniel Li,6,6,50.0,"Cindra, Dracai of Retribution"
Gabriele Panichi,2,5,28.57,"Prism, Awakener of Sol"
Alvaro Francisco Toledano Benito,7,5,58.33,"Nuu, Alluring Desire"
Maciej Szawica,1,4,20.0,"Kayo, Armed and Dangerous"
Alex Kondov,3,3,50.0,"Prism, Awakener of Sol"
Enrico Collini,0,4,0.0,"Riptide, Lurker of the Deep"
Matteo Brunori,3,4,42.86,"Azalea, Ace in the Hole"
Plamen Kutinchev,3,3,50.0,"Arakni, Marionette"
Filip Mikołajczyk,12,3,80.0,"Cindra, Dracai of Retribution"
Vasil Boev,2,3,40.0,"Verdance, Thorn of the Rose"
Tommaso Viscido,13,2,86.67,"Nuu, Alluring Desire"
Charlie Fahey,4,3,57.14,"Kano, Dracai of Aether"
Anton Cid Mejias,9,3,75.0,"Arakni, Marionette"
Florin-Cristian Loghin,6,4,60.0,"Florian, Rotwood Harbinger"
Piero Carini,1,3,25.0,"Arakni, Marionette"
Oliver Kuhrt,1,3,25.0,"Puffin, Hightail"
Diego Paoletti,4,3,57.14,"Nuu, Alluring Desire"
Viktor Ivanov,1,3,25.0,"Arakni, Marionette"
Roberto Andreocci,3,4,42.86,"Ira, Scarlet Revenger"
Francesco Fiumanò,3,4,42.86,"Cindra, Dracai of Retribution"
Jakub Kulpinski,2,4,33.33,"Puffin, Hightail"
Alex Smith,2,3,40.0,"Azalea, Ace in the Hole"
James Brookes,0,2,0.0,"Nuu, Alluring Desire"
Nikolas Koutounidis,1,4,20.0,"Victor Goldmane, High and Mighty"
Yorgos Samaras,10,3,76.92,"Cindra, Dracai of Retribution"
Emad Kashy,4,3,57.14,"Arakni, Marionette"
Nikos Evgenidis,4,3,57.14,"Nuu, Alluring Desire"
Filippo Barbani,8,4,66.67,"Victor Goldmane, High and Mighty"
Gustavo Cilleruelo,9,3,75.0,"Riptide, Lurker of the Deep"
Florian Schmidt,2,7,22.22,"Arakni, 5L!p3d 7hRu 7h3 cR4X, Prism, Awakener of Sol"
Davide Ricci,4,2,66.67,"Prism, Awakener of Sol"
Alessandro Bracci,5,3,62.5,"Verdance, Thorn of the Rose"
Jorge Jimenez,2,4,33.33,"Florian, Rotwood Harbinger"
Emlyn Ingram,4,3,57.14,"Prism, Awakener of Sol"
Valerio Colonna,2,5,28.57,"Nuu, Alluring Desire"
Paul van Gijssel,1,3,25.0,"Azalea, Ace in the Hole"
Alessandro Segradin,2,3,40.0,Dash I/O
Francesco Giorgio,1,3,25.0,"Florian, Rotwood Harbinger"
Mirko Macchia,1,3,25.0,"Azalea, Ace in the Hole"
Steffen Bauer,6,6,50.0,"Cindra, Dracai of Retribution"
Gilles Molina,8,4,66.67,"Prism, Awakener of Sol"
Sander Neeft,9,3,75.0,"Gravy Bones, Shipwrecked Looter"
Vasilis Kirlis,9,3,75.0,"Nuu, Alluring Desire"
Mika Vainio,3,3,50.0,"Ser Boltyn, Breaker of Dawn"
Iacopo Lau,2,5,28.57,"Azalea, Ace in the Hole"
Emanuele Zanella,2,3,40.0,"Azalea, Ace in the Hole"
Wojciech Arendt,3,4,42.86,"Prism, Awakener of Sol"
Ilias Karamanis,8,4,66.67,"Kayo, Armed and Dangerous"
Tomasz Żelazko,2,3,40.0,"Marlynn, Treasure Hunter"
Marco Casadio,4,3,57.14,Dash I/O
Marko Leben,12,2,85.71,"Gravy Bones, Shipwrecked Looter"
René Rosenberg,0,3,0.0,"Arakni, Marionette"
Alessandro Brogi,7,5,58.33,"Arakni, 5L!p3d 7hRu 7h3 cR4X"
Jimmy Nguyen,4,3,57.14,"Gravy Bones, Shipwrecked Looter"
Diego Giacca,6,6,50.0,"Puffin, Hightail"
Riccardo Di Cesare,4,3,57.14,Kassai of the Golden Sand
Daniel Correas,7,5,58.33,"Azalea, Ace in the Hole"
Stephen Berlyant,2,4,33.33,"Gravy Bones, Shipwrecked Looter"
Maximilian Klein,2,3,40.0,"Gravy Bones, Shipwrecked Looter"
Jan-Hendrik Brinkforth,4,3,57.14,Jarl Vetreiði
Natan Tomeo,7,5,58.33,"Verdance, Thorn of the Rose"
Federico Lami,9,4,69.23,"Vynnset, Iron Maiden"
Andrea Caregnato,3,4,42.86,"Rhinar, Reckless Rampage"
Artur Wysocki,9,2,81.82,"Nuu, Alluring Desire"
Daniel Mulato,1,3,25.0,"Azalea, Ace in the Hole"
Jason Rolfe,8,4,66.67,"Verdance, Thorn of the Rose"
Demetrio Bori,3,4,42.86,Dash I/O
Žan Baumgartner,3,4,42.86,"Kano, Dracai of Aether"
Alberto Hernández Martin,2,3,40.0,"Vynnset, Iron Maiden"
Yahir Peñarrubia,2,3,40.0,"Florian, Rotwood Harbinger"
Ruben Exposito,4,3,57.14,"Kano, Dracai of Aether"
Julian Cappallo,3,3,50.0,"Florian, Rotwood Harbinger"
Mert Gezgin,7,5,58.33,"Oscilio, Constella Intelligence"
Gianluca Razza,2,4,33.33,"Verdance, Thorn of the Rose"
Eugenio Papavero Crusca,8,4,66.67,Jarl Vetreiði
Marek Luczak,1,4,20.0,"Cindra, Dracai of Retribution"
Francesco Buoso,4,3,57.14,"Oscilio, Constella Intelligence"
Antonio Kutter,7,5,58.33,"Prism, Awakener of Sol"
George Rodger,9,3,75.0,"Gravy Bones, Shipwrecked Looter"
Maciej Chmielewski,4,3,57.14,"Gravy Bones, Shipwrecked Looter"
Paolo D’Innocenzo,3,3,50.0,Kassai of the Golden Sand
Igor Makarev,1,5,16.67,"Ira, Scarlet Revenger"
Lukasz Bigos,2,3,40.0,"Puffin, Hightail"
Michele Maietta,1,3,25.0,"Kano, Dracai of Aether"
Matthew Duggan,4,3,57.14,"Kano, Dracai of Aether"
Julien Erdreich,2,3,40.0,"Florian, Rotwood Harbinger"
Daniele Bigagli,8,4,66.67,"Verdance, Thorn of the Rose"
Alexandros Argyriou,4,3,57.14,"Cindra, Dracai of Retribution"
Andrea Tosi,4,3,57.14,"Florian, Rotwood Harbinger"
Duccio Capanni,4,3,57.14,"Victor Goldmane, High and Mighty"
Arianna Rinaldi,1,6,14.29,"Puffin, Hightail"
Francesco D'Amendola,2,4,33.33,"Kayo, Armed and Dangerous"
Diogo Vala,2,4,33.33,"Azalea, Ace in the Hole"
Vasil Popov,3,4,42.86,"Arakni, Marionette"
David Chirulescu,6,5,54.55,Kassai of the Golden Sand
Ralph Schlauri,5,4,55.56,"Verdance, Thorn of the Rose"
Marco Nogarole,4,3,57.14,"Cindra, Dracai of Retribution"
Bartosz Ziemba,4,3,57.14,"Verdance, Thorn of the Rose"
Kevin Steiger,3,4,42.86,"Azalea, Ace in the Hole"
Pierfrancesco Di Giuseppe,0,5,0.0,"Gravy Bones, Shipwrecked Looter"
Tigran Grigorian,2,2,50.0,"Florian, Rotwood Harbinger"
Brian Fusciani,1,5,16.67,Dorinthea Ironsong
Lukasz Ziemba,4,3,57.14,"Fang, Dracai of Blades"
Davide Cimmino,0,3,0.0,"Azalea, Ace in the Hole"
Björn DHOOGHE,3,4,42.86,"Katsu, the Wanderer"
Boris Melnykov,4,3,57.14,"Nuu, Alluring Desire"
Brian Zambelli Tello,3,4,42.86,"Prism, Awakener of Sol"
Flavio Dollani,4,3,57.14,"Azalea, Ace in the Hole"
Pablo Pintor,9,2,81.82,"Nuu, Alluring Desire"
George Melissakis,4,3,57.14,"Prism, Awakener of Sol"
Stefano Galli,3,4,42.86,"Verdance, Thorn of the Rose"
Stefano tosoni,0,3,0.0,"Fang, Dracai of Blades"
Alexander Prull,1,3,25.0,"Azalea, Ace in the Hole"
Αναστάσιος Παπαγιάννης,2,3,40.0,"Oscilio, Constella Intelligence"
Daniel Collett,3,4,42.86,"Gravy Bones, Shipwrecked Looter"
Paweł Romanowski,3,3,50.0,"Kayo, Armed and Dangerous"
Savinien Castel,7,5,58.33,"Nuu, Alluring Desire"
Romain TRAVERSAZ,1,5,16.67,"Florian, Rotwood Harbinger"
Giorgos Dailianis,2,3,40.0,"Arakni, 5L!p3d 7hRu 7h3 cR4X"
Karanjeet Singh,2,2,50.0,Dash I/O
Guillem Las Heras Aixandri,7,5,58.33,"Verdance, Thorn of the Rose"
Michał Biereg,2,5,28.57,"Verdance, Thorn of the Rose"
Kugane Gaming,1,2,33.33,"Cindra, Dracai of Retribution"
Jonny Chapman,3,4,42.86,"Florian, Rotwood Harbinger"
Bota Claudiu,10,3,76.92,"Prism, Awakener of Sol"
Maximilian Schmidt,2,3,40.0,"Verdance, Thorn of the Rose"
Yorick Schulte,5,4,55.56,Kassai of the Golden Sand
Davide Brigida,1,6,14.29,"Puffin, Hightail"
