Hero,Wins,Losses,Total Matches,Win Rate (%)
"Gravy Bones, Shipwrecked Looter",106,93,199,53.27
"Oscilio, Constella Intelligence",38,33,71,53.52
"Cindra, Dracai of Retribution",119,96,215,55.35
"Florian, Rotwood Harbinger",105,135,240,43.75
"Kayo, Armed and Dangerous",19,24,43,44.19
"Victor Goldmane, High and Mighty",31,26,57,54.39
Dash I/O,20,27,47,42.55
"Rhinar, Reckless Rampage",7,12,19,36.84
"Azalea, Ace in the Hole",110,130,240,45.83
"Prism, Awakener of Sol",110,100,210,52.38
"Nuu, Alluring Desire",149,101,250,59.6
"Riptide, Lurker of the Deep",13,14,27,48.15
"Arakni, Marionette",71,60,131,54.2
"Verdance, Thorn of the Rose",88,92,180,48.89
"Kano, Dracai of Aether",61,47,108,56.48
"Puffin, Hightail",19,47,66,28.79
"Ira, Scarlet Revenger",13,21,34,38.24
"Arakni, 5L!p3d 7hRu 7h3 cR4X",21,28,49,42.86
"Ser Boltyn, Breaker of Dawn",3,3,6,50.0
"Marlynn, Treasure Hunter",4,11,15,26.67
Kassai of the Golden Sand,42,38,80,52.5
Jarl Vetreiði,17,19,36,47.22
"Vynnset, Iron Maiden",46,37,83,55.42
Dorinthea Ironsong,11,20,31,35.48
"Fang, Dracai of Blades",25,27,52,48.08
"Katsu, the Wanderer",3,4,7,42.86
"Fai, Rising Rebellion",9,3,12,75.0
"Levia, Shadowborn Abomination",13,18,31,41.94
,0,7,7,0.0
