Hero,Opponent Hero,Wins,Losses,Total Matches,Win Rate (%)
"Gravy Bones, Shipwrecked Looter","Gravy Bones, Shipwrecked Looter",7,7,14,50.0
"Gravy Bones, Shipwrecked Looter","Victor Goldmane, High and Mighty",6,1,7,85.71
"Gravy Bones, Shipwrecked Looter","Prism, Awakener of Sol",3,12,15,20.0
"Gravy Bones, Shipwrecked Looter","Arakni, Marionette",6,2,8,75.0
"Gravy Bones, Shipwrecked Looter","Arakni, 5L!p3d 7hRu 7h3 cR4X",2,2,4,50.0
"Gravy Bones, Shipwrecked Looter","Azalea, Ace in the Hole",6,11,17,35.29
"Gravy Bones, Shipwrecked Looter",Jarl Vetreiði,3,0,3,100.0
"Gravy Bones, Shipwrecked Looter","Oscilio, Constella Intelligence",2,1,3,66.67
"Gravy Bones, Shipwrecked Looter","Fang, Dracai of Blades",1,4,5,20.0
"Gravy Bones, Shipwrecked Looter","Florian, Rotwood Harbinger",13,5,18,72.22
"Gravy Bones, Shipwrecked Looter","Cindra, Dracai of Retribution",3,19,22,13.64
"Gravy Bones, Shipwrecked Looter",Dash I/O,1,1,2,50.0
"Gravy Bones, Shipwrecked Looter","Ira, Scarlet Revenger",1,1,2,50.0
"Gravy Bones, Shipwrecked Looter",Dorinthea Ironsong,1,1,2,50.0
"Gravy Bones, Shipwrecked Looter","Nuu, Alluring Desire",12,8,20,60.0
"Gravy Bones, Shipwrecked Looter",Kassai of the Golden Sand,3,1,4,75.0
"Gravy Bones, Shipwrecked Looter","Katsu, the Wanderer",1,0,1,100.0
"Gravy Bones, Shipwrecked Looter","Puffin, Hightail",5,3,8,62.5
"Gravy Bones, Shipwrecked Looter","Verdance, Thorn of the Rose",14,4,18,77.78
"Gravy Bones, Shipwrecked Looter","Kano, Dracai of Aether",3,1,4,75.0
"Gravy Bones, Shipwrecked Looter","Rhinar, Reckless Rampage",2,1,3,66.67
"Gravy Bones, Shipwrecked Looter","Riptide, Lurker of the Deep",2,1,3,66.67
"Gravy Bones, Shipwrecked Looter","Kayo, Armed and Dangerous",1,1,2,50.0
"Gravy Bones, Shipwrecked Looter","Levia, Shadowborn Abomination",0,2,2,0.0
"Gravy Bones, Shipwrecked Looter","Vynnset, Iron Maiden",6,4,10,60.0
"Gravy Bones, Shipwrecked Looter","Fai, Rising Rebellion",2,0,2,100.0
"Oscilio, Constella Intelligence","Cindra, Dracai of Retribution",3,1,4,75.0
"Oscilio, Constella Intelligence","Verdance, Thorn of the Rose",5,5,10,50.0
"Oscilio, Constella Intelligence","Prism, Awakener of Sol",6,1,7,85.71
"Oscilio, Constella Intelligence","Gravy Bones, Shipwrecked Looter",1,2,3,33.33
"Oscilio, Constella Intelligence","Nuu, Alluring Desire",1,9,10,10.0
"Oscilio, Constella Intelligence",Dorinthea Ironsong,1,1,2,50.0
"Oscilio, Constella Intelligence","Fang, Dracai of Blades",2,0,2,100.0
"Oscilio, Constella Intelligence","Victor Goldmane, High and Mighty",0,1,1,0.0
"Oscilio, Constella Intelligence","Oscilio, Constella Intelligence",2,2,4,50.0
"Oscilio, Constella Intelligence","Azalea, Ace in the Hole",3,2,5,60.0
"Oscilio, Constella Intelligence","Florian, Rotwood Harbinger",4,2,6,66.67
"Oscilio, Constella Intelligence","Arakni, Marionette",2,0,2,100.0
"Oscilio, Constella Intelligence",,1,0,1,100.0
"Oscilio, Constella Intelligence",Kassai of the Golden Sand,2,0,2,100.0
"Oscilio, Constella Intelligence","Kano, Dracai of Aether",3,3,6,50.0
"Oscilio, Constella Intelligence","Kayo, Armed and Dangerous",0,2,2,0.0
"Oscilio, Constella Intelligence",Jarl Vetreiði,1,0,1,100.0
"Oscilio, Constella Intelligence","Ira, Scarlet Revenger",1,1,2,50.0
"Oscilio, Constella Intelligence","Vynnset, Iron Maiden",0,1,1,0.0
"Cindra, Dracai of Retribution","Oscilio, Constella Intelligence",1,3,4,25.0
"Cindra, Dracai of Retribution","Florian, Rotwood Harbinger",15,10,25,60.0
"Cindra, Dracai of Retribution","Kayo, Armed and Dangerous",6,1,7,85.71
"Cindra, Dracai of Retribution","Prism, Awakener of Sol",8,7,15,53.33
"Cindra, Dracai of Retribution","Verdance, Thorn of the Rose",14,6,20,70.0
"Cindra, Dracai of Retribution","Ira, Scarlet Revenger",1,1,2,50.0
"Cindra, Dracai of Retribution","Arakni, Marionette",8,8,16,50.0
"Cindra, Dracai of Retribution","Azalea, Ace in the Hole",7,4,11,63.64
"Cindra, Dracai of Retribution",Jarl Vetreiði,0,4,4,0.0
"Cindra, Dracai of Retribution","Vynnset, Iron Maiden",3,8,11,27.27
"Cindra, Dracai of Retribution","Victor Goldmane, High and Mighty",2,6,8,25.0
"Cindra, Dracai of Retribution",Dorinthea Ironsong,2,0,2,100.0
"Cindra, Dracai of Retribution","Fai, Rising Rebellion",1,1,2,50.0
"Cindra, Dracai of Retribution",Kassai of the Golden Sand,1,5,6,16.67
"Cindra, Dracai of Retribution","Gravy Bones, Shipwrecked Looter",19,3,22,86.36
"Cindra, Dracai of Retribution","Puffin, Hightail",4,1,5,80.0
"Cindra, Dracai of Retribution","Marlynn, Treasure Hunter",1,0,1,100.0
"Cindra, Dracai of Retribution","Levia, Shadowborn Abomination",3,0,3,100.0
"Cindra, Dracai of Retribution","Kano, Dracai of Aether",4,7,11,36.36
"Cindra, Dracai of Retribution","Nuu, Alluring Desire",6,11,17,35.29
"Cindra, Dracai of Retribution","Rhinar, Reckless Rampage",1,1,2,50.0
"Cindra, Dracai of Retribution","Cindra, Dracai of Retribution",6,6,12,50.0
"Cindra, Dracai of Retribution",,2,0,2,100.0
