Player,Hero,Round,Opponent,Opponent Hero,Result
Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Round 1,Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Win
Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Round 1,Alexej Vollmer,"Gravy Bones, Shipwrecked Looter",Loss
Grégory Lefebvre,"Oscilio, Constella Intelligence",Round 1,Francesco Zampieri,"Cindra, Dracai of Retribution",Win
Francesco Zampieri,"Cindra, Dracai of Retribution",Round 1,Grégory Lefebvre,"Oscilio, Constella Intelligence",Loss
Jaka Burnik,"Cindra, Dracai of Retribution",Round 1,Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Win
Lorenzo Cavazzini,"Florian, Rotwood Harbinger",Round 1,Jaka Burnik,"Cindra, Dracai of Retribution",Loss
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 1,Florian Grabenstein,"Kayo, Armed and Dangerous",Win
Florian Grabenstein,"Kayo, Armed and Dangerous",Round 1,Marvin Heusinger,"Cindra, Dracai of Retribution",Loss
Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Round 1,Chang Li,"Victor Goldmane, High and Mighty",Win
Chang Li,"Victor Goldmane, High and Mighty",Round 1,Stefaan Morbee,"Gravy Bones, Shipwrecked Looter",Loss
Erik Baalhuis,"Rhinar, Reckless Rampage",Round 1,Xiaoliang Yang,Dash I/O,Loss
Xiaoliang Yang,Dash I/O,Round 1,Erik Baalhuis,"Rhinar, Reckless Rampage",Win
Luis Toeffels,"Azalea, Ace in the Hole",Round 1,Mirko Dolce,"Azalea, Ace in the Hole",Loss
Mirko Dolce,"Azalea, Ace in the Hole",Round 1,Luis Toeffels,"Azalea, Ace in the Hole",Win
Jakub Kouřil,"Prism, Awakener of Sol",Round 1,Christian Fichtner,"Nuu, Alluring Desire",Win
Christian Fichtner,"Nuu, Alluring Desire",Round 1,Jakub Kouřil,"Prism, Awakener of Sol",Loss
Daniel Li,"Cindra, Dracai of Retribution",Round 1,Gabriele Panichi,"Prism, Awakener of Sol",Win
Gabriele Panichi,"Prism, Awakener of Sol",Round 1,Daniel Li,"Cindra, Dracai of Retribution",Loss
Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Round 1,Maciej Szawica,"Kayo, Armed and Dangerous",Win
Maciej Szawica,"Kayo, Armed and Dangerous",Round 1,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Loss
Alex Kondov,"Prism, Awakener of Sol",Round 1,Enrico Collini,"Riptide, Lurker of the Deep",Win
